y,x.gdprate,x.govspend,x.tax,x.salav,x.infl,x.gdprate^2,x.govspend^2,x.tax^2,x.salav^2,x.infl^2,x.gdpr:govs,x.gdpr:tax,x.gdpr:salav,x.gdpr:infl,x.govs:tax,x.govs:salav,x.govs:infl,x.tax:salav,x.tax:infl,x.salav:infl
2.5,1.103896731,-0.884202384,-0.824423786,0.103096968,-0.253005906,1.182345473,-0.893512695,-0.840467765,0.08688107,-0.426637539,1.037961892,1.071245952,1.12486992,0.836070204,-0.870960813,-0.838748526,-0.435920519,-0.772775927,-0.401775559,-0.255747364
2.7,0.65470471,-1.030375226,-0.902340141,-0.581846109,-0.017329172,0.502128455,-1.019720517,-0.910293755,-0.593221068,-0.236492675,0.503604206,0.569380886,0.614933476,0.748042374,-0.972739316,-1.121302203,-0.277857924,-1.018373928,-0.216041078,-0.073575831
2.8,0.305333138,-0.981650945,-0.843902875,-0.823590725,0.277266747,0.053689087,-0.977979482,-0.857991749,-0.829447021,0.036840567,0.158914288,0.219756357,0.253238369,0.720166894,-0.926058798,-1.124548205,-0.027176633,-1.023185517,0.048682439,0.182593351
2.7,0.954166057,-0.965409518,-0.824423786,-1.10562611,0.601322257,0.942649953,-0.963992862,-0.840467765,-1.102531511,0.383260741,0.842723653,0.912633816,0.862162881,1.86159442,-0.910417688,-1.167352155,0.240707055,-1.075440411,0.331694057,0.457795948
2.8,-0.393410005,-0.80299525,-0.688070165,-0.299810724,1.720786747,-0.631566577,-0.822120755,-0.71654013,-0.315111668,1.948786788,-0.529242762,-0.489253448,-0.406383993,0.930700121,-0.775697754,-0.84469953,1.226853101,-0.742742297,1.348629251,1.570583279
4.1,-1.890716742,-0.08837247,-0.356925656,0.989493893,1.92700389,-1.149827162,-0.154555962,-0.406394858,0.990702107,2.299564449,-2.153103189,-2.110757516,-1.90503169,-1.791560514,-0.271580537,0.14701908,1.755265828,-0.082080052,1.67217301,1.922300971
4.5,0.455063812,-0.007165335,0.052135208,1.110366201,1.337812053,0.237239711,-0.074228632,-0.005322829,1.116021135,1.348840129,0.67370739,0.652347234,0.54504336,2.044985732,-0.041455904,0.257469717,1.243556876,0.361827859,1.285010003,1.358927116
5.1,0.005871791,-0.039648189,-0.006302058,0.949203123,0.719160625,-0.274542617,-0.106468977,-0.063833589,0.949039536,0.521115768,0.122502425,0.107372202,0.066130973,0.779585679,-0.085829712,0.186490467,0.652629645,0.258301084,0.675276906,0.73818601
5.3,-0.044038433,0.139007506,-0.025781147,0.868621585,1.072675727,-0.324209257,0.072658234,-0.083247194,0.865880049,0.97270982,0.113399459,0.04419848,0.009586017,1.013592994,0.001177755,0.346410179,1.051712765,0.216497169,1.004916699,1.075600034
5.9,-0.143858883,0.203973213,0.285884273,0.908912354,1.102135319,-0.419223698,0.138889532,0.2327694,0.907432183,1.012917536,0.007968092,-0.003249595,-0.091672103,0.888886901,0.183691093,0.421371191,1.105314434,0.539313417,1.138705189,1.108174257
6.4,-1.042242924,0.366387482,0.636507871,1.513273893,1.514569605,-1.015223371,0.307020743,0.602055306,1.537340448,1.617419749,-1.088192042,-1.05985044,-1.009598977,-0.314160105,0.443863654,0.73558421,1.575513256,1.070373178,1.679955181,1.576648034
7.4,-1.142063373,0.788664579,0.792340581,1.634146201,1.455650421,-1.052653302,0.761230311,0.770861437,1.664813008,1.526308669,-1.172428443,-1.172912424,-1.112783203,-0.501952809,0.76813846,1.199632693,1.70216278,1.266018605,1.678787855,1.531105151
